,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kavaratti,100,IN,1569500319,78,10.57,72.64,27.27,7.35
1,Albany,75,US,1569500258,67,42.65,-73.75,18.33,4.6
2,Zhigansk,100,RU,1569500321,74,66.77,123.37,4.37,5.27
3,Lagoa,0,PT,1569500323,56,37.14,-8.45,26.67,3.1
4,Rikitea,11,PF,1569500324,73,-23.12,-134.97,21.67,4.03
5,Touros,40,BR,1569500325,78,-5.2,-35.46,25.0,3.6
6,Kapaa,90,US,1569500326,88,22.08,-159.32,26.0,2.1
7,Severo-Kurilsk,81,RU,1569500328,84,50.68,156.12,8.67,15.02
8,Geraldton,75,CA,1569500329,100,49.72,-86.95,6.0,2.6
9,Riyadh,4,SA,1569499817,15,24.63,46.72,39.0,4.1
10,Ushuaia,40,AR,1569500246,65,-54.81,-68.31,5.0,4.1
11,Bhag,0,PK,1569500332,25,29.04,67.82,38.97,2.91
12,Jamestown,58,AU,1569500333,33,-33.21,138.6,13.57,3.18
13,Lincoln,49,GB,1569500335,77,53.23,-0.54,19.44,10.3
14,Bom Jesus,88,BR,1569500336,43,-9.08,-44.36,28.47,3.2
15,Carnarvon,0,ZA,1569500337,8,-30.97,22.13,24.97,6.56
16,Dauphin,75,CA,1569500338,87,51.15,-100.04,7.0,7.7
17,Aykhal,54,RU,1569500339,83,65.95,111.51,-1.63,6.19
18,Bredasdorp,0,ZA,1569500341,14,-34.53,20.04,22.0,5.1
19,Pangnirtung,75,CA,1569500342,48,66.15,-65.72,7.0,1.5
20,Qaanaaq,98,GL,1569500343,65,77.48,-69.36,-4.13,6.86
21,Punta Arenas,40,CL,1569500344,75,-53.16,-70.91,7.0,6.2
22,Tatishchevo,70,RU,1569500345,27,51.67,45.59,12.78,1.34
23,Hamilton,90,CA,1569500247,93,43.26,-79.87,16.67,2.1
24,Kruisfontein,0,ZA,1569500347,9,-34.0,24.73,32.37,2.64
25,Klaksvik,75,FO,1569500349,93,62.23,-6.59,12.0,16.5
26,Ancud,0,CL,1569500350,100,-41.87,-73.83,7.0,4.1
27,Caravelas,40,BR,1569500351,77,-17.73,-39.27,24.77,4.71
28,Ribeira Grande,75,PT,1569500352,88,38.52,-28.7,23.0,4.1
29,Muros,75,ES,1569500353,68,42.77,-9.06,21.11,6.2
30,Busselton,12,AU,1569500355,55,-33.64,115.35,15.56,6.99
31,Thompson,75,CA,1569500300,80,55.74,-97.86,1.0,2.6
32,Nikolskoye,75,RU,1569500357,61,59.7,30.79,12.22,4.0
33,Praia da Vitoria,20,PT,1569500360,78,38.73,-27.07,25.0,5.17
34,College,40,US,1569500361,97,64.86,-147.8,2.0,2.6
35,Davila,75,PH,1569500363,78,18.47,120.58,28.0,8.2
36,Luanda,75,AO,1569500274,65,-8.83,13.24,28.0,5.7
37,Bambous Virieux,75,MU,1569500365,100,-20.34,57.76,25.0,6.7
38,Buturlino,82,RU,1569500366,59,55.57,44.9,7.77,5.28
39,Ngunguru,16,NZ,1569500367,87,-35.62,174.5,8.33,0.89
40,Okhotsk,0,RU,1569500368,45,59.36,143.24,1.67,3.53
41,Laguna,40,BZ,1569500370,100,16.17,-88.94,24.0,1.22
42,Meulaboh,83,ID,1569500372,68,4.14,96.13,28.47,1.27
43,Saint-Philippe,90,CA,1569500373,77,45.36,-73.48,19.44,2.6
44,Tuktoyaktuk,100,CA,1569500374,78,69.44,-133.03,1.47,9.3
45,Banda Aceh,100,ID,1569500228,72,5.56,95.32,28.57,3.95
46,Provideniya,100,RU,1569500377,87,64.42,-173.23,0.07,3.13
47,Husavik,26,CA,1569500378,91,50.56,-96.99,6.11,1.79
48,Port Alfred,0,ZA,1569500379,70,-33.59,26.89,20.56,3.58
49,New Norfolk,0,AU,1569500380,58,-42.78,147.06,13.89,3.6
50,Sandpoint,90,US,1569500381,81,48.28,-116.55,14.44,2.1
51,Lavrentiya,88,RU,1569500383,79,65.58,-170.99,-0.13,1.46
52,East London,0,ZA,1569500384,49,-33.02,27.91,23.0,7.7
53,Atuona,12,PF,1569500109,78,-9.8,-139.03,25.97,6.66
54,Butaritari,11,KI,1569500110,69,3.07,172.79,29.37,5.23
55,Arlit,0,NE,1569500387,7,18.74,7.39,38.67,1.49
56,Pevek,0,RU,1569500389,70,69.7,170.27,0.57,2.51
57,Saint-Pierre,75,FR,1569500391,93,48.95,4.24,18.33,8.7
58,Hermanus,0,ZA,1569500393,47,-34.42,19.24,22.47,2.7
59,Beringovskiy,100,RU,1569500394,97,63.05,179.32,6.37,12.38
60,Dikson,73,RU,1569500395,91,73.51,80.55,2.47,3.78
61,Carballo,75,ES,1569500396,56,43.21,-8.69,22.0,4.6
62,Yar-Sale,100,RU,1569500398,75,66.83,70.83,3.57,3.12
63,Fort Nelson,90,CA,1569500399,81,58.81,-122.69,7.0,6.7
64,Hobart,0,AU,1569500133,58,-42.88,147.33,12.0,3.6
65,Ilulissat,20,GL,1569500402,44,69.22,-51.1,3.0,6.7
66,Cidreira,30,BR,1569500403,79,-30.17,-50.22,18.27,2.62
67,Hasaki,20,JP,1569500404,82,35.73,140.83,19.0,2.6
68,Bereda,75,ES,1569500406,56,43.27,-7.54,22.78,4.6
69,Saint George,40,GR,1569500407,37,39.45,22.34,30.0,1.76
70,Nizwa,60,OM,1569500409,35,22.93,57.53,30.77,2.64
71,Kavieng,71,PG,1569500410,72,-2.57,150.8,28.97,3.57
72,Vaini,75,IN,1569500412,100,15.34,74.49,22.0,4.1
73,Cape Town,0,ZA,1569500308,13,-33.93,18.42,34.0,5.1
74,Mataura,87,NZ,1569500414,79,-46.19,168.86,8.89,5.81
75,Khonsa,19,IN,1569500416,97,26.99,95.51,19.67,1.27
76,Gushikawa,20,JP,1569500417,88,26.35,127.87,29.0,3.6
77,Manokwari,90,ID,1569500425,85,-0.87,134.08,23.67,1.65
78,Bluff,59,AU,1569500428,77,-23.58,149.07,17.27,3.57
79,Huntsville,90,US,1569500324,100,34.73,-86.59,22.78,1.24
80,Pauini,8,BR,1569500488,65,-7.71,-67.0,26.77,1.06
81,Kodiak,1,US,1569500491,87,39.95,-94.76,12.78,2.6
82,Talnakh,100,RU,1569500492,84,69.49,88.39,1.67,3.43
83,Pimentel,36,BR,1569500494,70,-3.7,-45.5,27.77,1.86
84,Eyl,44,SO,1569500502,31,7.98,49.82,36.27,9.44
85,Tura,57,RU,1569500503,77,64.27,100.22,-0.73,2.2
86,Georgetown,20,GY,1569500508,79,6.8,-58.16,29.0,1.0
87,La Romana,40,DO,1569500516,94,18.43,-68.97,27.0,3.25
88,Liberal,90,US,1569500517,59,37.04,-100.92,17.0,4.6
89,Ikalamavony,63,MG,1569500522,29,-21.17,46.6,28.77,2.82
90,Teguldet,41,RU,1569500523,73,57.31,88.17,2.37,2.32
91,Garowe,23,SO,1569500525,29,8.41,48.48,35.07,7.68
92,Nalut,20,LY,1569500526,23,31.86,10.98,34.17,4.19
93,Barrow,0,AR,1569500527,61,-38.31,-60.23,16.37,4.44
94,Ponta Delgada,75,PT,1569500528,94,37.73,-25.67,23.0,7.2
95,Cherskiy,13,RU,1569500529,70,68.75,161.3,-2.23,1.52
96,Nha Trang,20,VN,1569500531,74,12.24,109.19,29.0,6.7
97,Hilo,40,US,1569500532,61,19.71,-155.08,26.0,2.1
98,San Policarpo,33,PH,1569500533,83,12.18,125.51,27.27,2.71
99,Bam,0,IR,1569500534,8,29.11,58.36,28.17,3.35
100,Karia,92,NG,1569500536,34,11.73,11.16,35.07,2.18
101,Vestmannaeyjar,75,IS,1569500539,93,63.44,-20.27,12.0,5.1
102,Kalabo,39,ZM,1569500540,25,-15.0,22.67,30.57,5.64
103,Bonthe,100,SL,1569500541,88,7.53,-12.5,25.17,3.11
104,Nanortalik,17,GL,1569500439,73,60.14,-45.24,6.57,0.27
105,Riachao das Neves,0,BR,1569500543,34,-11.75,-44.91,29.07,3.03
106,Tasiilaq,75,GL,1569500544,75,65.61,-37.64,7.0,10.3
107,Qaqortoq,5,GL,1569500546,74,60.72,-46.03,3.0,1.55
108,Meadville,90,US,1569500547,77,41.64,-80.15,19.44,2.1
109,Gat,75,SN,1569500548,70,14.69,-16.54,32.0,3.1
110,Terrace,90,CA,1569500549,100,54.52,-128.61,7.0,1.0
111,Arraial do Cabo,90,BR,1569500550,94,-22.97,-42.02,20.0,3.6
112,Valdivia,75,CL,1569500269,100,-39.81,-73.25,2.0,3.4
113,Vagur,100,FO,1569500553,94,61.47,-6.81,10.57,15.56
114,Jumla,58,NP,1569500554,93,29.28,82.18,13.37,2.0
115,Upata,95,VE,1569500555,84,8.02,-62.41,23.97,1.97
116,Cradock,0,ZA,1569500556,7,-32.16,25.62,25.37,0.85
117,Esperance,40,AU,1569500526,87,-33.86,121.89,13.0,3.1
118,Saskylakh,100,RU,1569500561,84,71.97,114.09,-0.23,2.9
119,Podporozhye,98,RU,1569500562,89,60.91,34.16,5.47,2.91
120,Portland,20,US,1569500563,87,43.66,-70.25,16.67,1.46
121,Cayenne,70,GF,1569500564,74,4.94,-52.33,29.0,1.5
122,Clyde River,90,CA,1569500565,100,70.47,-68.59,2.0,3.1
123,Longyearbyen,75,NO,1569500567,93,78.22,15.63,5.0,7.2
124,Hithadhoo,100,MV,1569500568,76,-0.6,73.08,28.47,7.06
125,Rosetta,40,EG,1569500359,62,31.4,30.42,29.0,4.6
126,Verkhnetulomskiy,75,RU,1569500570,93,68.61,31.8,6.0,1.0
127,Makakilo City,90,US,1569500571,100,21.35,-158.09,26.0,3.38
128,Aklavik,75,CA,1569500573,89,68.22,-135.01,0.0,5.16
129,Marsa Matruh,40,EG,1569500574,61,31.35,27.25,28.0,5.1
130,Pyapon,100,MM,1569500576,78,16.29,95.68,27.87,1.2
131,Sorgun,40,TR,1569500577,43,39.81,35.19,21.97,5.04
132,Cabo San Lucas,5,MX,1569500474,78,22.89,-109.91,25.0,4.6
133,Flin Flon,20,CA,1569500579,100,54.77,-101.88,3.0,3.1
134,Ust-Maya,69,RU,1569500581,89,60.42,134.54,2.97,1.5
135,Hervey Bay,19,AU,1569500583,72,-25.3,152.85,19.44,2.6
136,Tecoanapa,40,MX,1569500584,88,16.99,-99.26,26.0,2.6
137,Northam,31,AU,1569500586,62,-31.65,116.67,14.0,3.1
138,Mongu,40,ZM,1569500588,22,-15.27,23.14,31.67,4.82
139,Rio Gallegos,0,AR,1569500589,65,-51.62,-69.22,5.0,2.1
140,Sechura,39,PE,1569500590,93,-5.56,-80.82,16.87,2.75
141,Newport,75,US,1569500591,93,41.49,-71.31,20.56,1.5
142,Mehamn,75,NO,1569500592,81,71.03,27.85,7.0,4.1
143,Mount Gambier,53,AU,1569500593,62,-37.83,140.78,13.0,4.6
144,Port Blair,95,IN,1569500595,81,11.67,92.75,27.97,4.95
145,Santo Amaro da Imperatriz,40,BR,1569500596,77,-27.69,-48.78,22.78,1.5
146,Jinchang,0,CN,1569500598,26,38.52,102.19,16.67,2.01
147,Kahului,1,US,1569500599,78,20.89,-156.47,23.89,1.86
148,Ornskoldsvik,0,SE,1569500600,54,63.29,18.72,13.0,1.5
149,Mayumba,61,GA,1569500603,87,-3.44,10.65,24.97,4.41
150,Fundao,90,BR,1569500605,88,-19.93,-40.4,22.0,2.1
151,Mocuba,86,MZ,1569500607,56,-16.84,36.99,20.87,5.61
152,Takoradi,84,GH,1569500608,67,4.89,-1.75,29.37,2.88
153,Puerto Ayora,90,EC,1569500610,88,-0.74,-90.35,20.0,5.1
154,Tautira,75,PF,1569500611,83,-17.73,-149.15,25.0,4.6
155,Avera,1,US,1569500612,100,33.19,-82.53,22.0,1.59
156,Avarua,44,CK,1569500613,100,-21.21,-159.78,21.0,3.6
157,Kachug,68,RU,1569500614,74,53.96,105.89,9.17,1.25
158,Mar del Plata,0,AR,1569500450,51,-46.43,-67.52,8.17,6.72
159,Kaitangata,87,NZ,1569500617,66,-46.28,169.85,8.33,5.36
160,Kieta,20,PG,1569500618,76,-6.22,155.63,27.47,2.18
161,Gulariya,34,IN,1569500620,97,28.2,81.35,22.22,5.32
162,Harper,75,US,1569500622,88,30.3,-99.24,22.22,4.82
163,Khatanga,100,RU,1569500624,95,71.98,102.47,1.37,3.58
164,Beneditinos,20,BR,1569500626,62,-5.46,-42.36,30.0,3.1
165,West Bay,90,CA,1569500627,93,49.34,-123.21,15.0,4.6
166,Sinnamary,45,GF,1569500628,72,5.38,-52.96,28.07,3.31
167,Tuatapere,91,NZ,1569500631,79,-46.13,167.69,8.89,5.81
168,Guatire,40,VE,1569500632,83,10.47,-66.54,26.0,1.5
169,Pitimbu,40,BR,1569500371,69,-7.47,-34.81,27.0,6.2
170,Faanui,17,PF,1569500634,80,-16.48,-151.75,26.17,6.39
171,Pisco,90,PE,1569500635,30,-13.71,-76.2,22.0,2.1
172,Chalisgaon,100,IN,1569500636,80,20.46,75.0,27.77,3.1
173,Tutin,25,RS,1569500638,47,42.99,20.34,19.57,4.81
174,Kamaishi,0,JP,1569500639,71,39.28,141.86,10.07,0.91
175,Mahebourg,75,MU,1569500640,100,-20.41,57.7,25.0,6.7
176,Kaeo,28,NZ,1569500641,100,-35.1,173.78,9.44,3.9
177,Manaus,40,BR,1569500642,78,-3.13,-59.98,28.0,2.1
178,Nuuk,20,GL,1569500534,48,64.17,-51.74,6.0,7.7
179,Belle Fourche,1,US,1569500645,75,44.67,-103.85,11.11,2.6
180,Honningsvag,75,NO,1569500646,81,70.98,25.97,7.0,4.1
181,Alexandria,82,RO,1569500647,48,43.97,25.33,25.56,0.45
182,Lebu,59,ET,1569500648,64,8.96,38.73,20.07,4.86
183,Zhaodong,0,CN,1569500649,82,46.07,125.99,16.0,1.0
184,Shingu,15,JP,1569500583,97,33.72,135.99,17.87,2.32
185,Charleston,1,US,1569500517,83,32.79,-79.94,27.22,4.6
186,Atambua,1,ID,1569500653,80,-9.11,124.89,26.27,2.1
187,Yerofey Pavlovich,0,RU,1569500654,90,53.97,121.97,8.07,1.18
188,Taldan,8,RU,1569500655,82,53.69,124.82,7.37,1.81
189,Wana,48,PK,1569500656,55,32.31,69.59,20.37,3.5
190,Nabire,100,ID,1569500657,95,-3.36,135.5,21.77,0.15
191,Khvoynaya,98,RU,1569500659,53,58.9,34.53,8.77,3.27
192,Alofi,100,NU,1569500660,94,-19.06,-169.92,20.0,0.5
193,Saint Johnsbury,75,US,1569500661,87,44.42,-72.02,16.67,2.33
194,Shitanjing,0,CN,1569500662,22,39.23,106.34,22.57,3.64
195,Rioblanco,69,CO,1569500663,88,3.53,-75.64,7.77,1.95
196,Puri,68,ID,1569500665,72,-7.54,112.45,24.27,5.78
197,Sitka,83,US,1569500666,59,37.17,-99.65,16.11,5.36
198,Yumen,0,CN,1569500667,11,40.29,97.04,23.07,2.14
199,Sao Miguel do Araguaia,50,BR,1569500472,31,-13.28,-50.16,34.17,1.51
200,Sinazongwe,0,ZM,1569500670,22,-17.26,27.46,23.87,4.35
201,Ust-Tsilma,100,RU,1569500671,88,65.44,52.15,3.77,4.06
202,Iqaluit,20,CA,1569500673,86,63.75,-68.52,3.0,8.2
203,Broome,20,GB,1569500674,56,52.47,1.45,21.67,6.7
204,Beroroha,10,MG,1569500677,22,-21.68,45.17,32.17,3.97
205,Sosnovo-Ozerskoye,99,RU,1569500678,75,52.53,111.54,12.37,2.96
206,Bathsheba,75,BB,1569500680,70,13.22,-59.52,30.0,5.1
207,Manavalakurichi,40,IN,1569500683,74,8.13,77.3,29.0,1.0
208,Lorengau,1,PG,1569500684,83,-2.02,147.27,26.47,2.57
209,Padang,64,ID,1569500686,83,-0.92,100.36,26.07,4.62
210,Skoghall,20,SE,1569500688,62,59.32,13.47,13.33,4.6
211,Dourbali,100,TD,1569500689,74,11.81,15.86,27.07,6.12
212,Mahanoro,61,MG,1569500690,56,-19.9,48.8,26.17,3.03
213,Bandarbeyla,31,SO,1569500691,46,9.49,50.81,32.67,12.55
214,Waipawa,27,NZ,1569500692,84,-39.94,176.59,8.89,4.92
215,Pogradec,75,AL,1569500694,68,40.9,20.66,20.0,1.5
216,Santa Isabel do Rio Negro,69,BR,1569500695,91,-0.41,-65.02,25.07,0.49
217,Abha,40,SA,1569500696,15,18.22,42.5,29.0,7.2
218,Nambucca Heads,62,AU,1569500697,82,-30.64,152.99,18.0,3.6
219,Bambanglipuro,0,ID,1569500698,87,-7.95,110.28,24.47,4.82
220,Omsukchan,100,RU,1569500700,90,62.53,155.8,-4.13,3.12
221,Bethel,20,US,1569500701,100,60.79,-161.76,3.0,2.6
222,Tiksi,100,RU,1569500702,98,71.64,128.87,1.47,1.86
223,Kirakira,72,SB,1569500703,83,-10.46,161.92,25.47,2.51
224,Livingston,40,US,1569500705,100,32.58,-88.19,23.33,1.57
225,Luderitz,39,NA,1569500706,53,-26.65,15.16,22.0,3.1
226,Yellowknife,40,CA,1569500707,78,62.45,-114.38,0.0,2.6
227,Grindavik,75,IS,1569500708,76,63.84,-22.43,16.0,2.6
228,Saldanha,100,PT,1569500709,42,41.42,-6.55,20.37,1.96
229,Huarmey,100,PE,1569500711,95,-10.07,-78.15,15.97,4.98
230,Hilton Head Island,1,US,1569500712,83,32.16,-80.75,27.22,2.1
231,Ambilobe,81,MG,1569500713,58,-13.19,49.05,28.87,4.97
232,Chokurdakh,40,RU,1569500714,89,70.62,147.9,-3.43,3.8
233,Codrington,96,AU,1569500716,93,-28.95,153.24,18.0,2.6
234,Luan,75,CH,1569500717,63,46.36,6.98,20.56,0.5
235,Mzimba,86,MW,1569500718,44,-11.9,33.6,23.67,4.41
236,Dunedin,97,NZ,1569500720,77,-45.87,170.5,8.33,10.28
237,Gorontalo,0,ID,1569500721,92,0.54,123.06,23.77,1.43
238,Siyabuswa,0,ZA,1569500723,17,-25.11,29.06,21.27,2.06
239,Pathein,66,MM,1569500540,83,16.78,94.73,26.47,2.07
240,Celica,0,EC,1569500725,72,-4.1,-79.96,16.0,1.5
241,Semey,0,KZ,1569500726,28,50.41,80.25,14.0,4.0
242,Castro,0,CL,1569500727,87,-42.48,-73.76,9.0,3.1
243,Mercedes,0,UY,1569500728,68,-33.25,-58.03,17.47,1.65
244,Hobyo,51,SO,1569500730,54,5.35,48.53,29.97,13.66
245,Doha,0,QA,1569500562,60,25.29,51.53,40.0,4.1
246,Tarsus,40,TR,1569500732,51,36.92,34.88,32.22,4.6
247,Nisia Floresta,75,BR,1569500733,69,-6.09,-35.21,28.0,8.7
248,Alyangula,23,AU,1569500734,83,-13.85,136.42,23.0,1.5
249,Elmadag,40,TR,1569500736,35,39.92,33.23,25.0,5.1
250,Moyale,100,ET,1569500737,62,3.52,39.05,24.57,4.18
251,Ponta do Sol,100,BR,1569500738,92,-20.63,-46.0,17.17,1.2
252,Sumbe,0,AO,1569500739,85,-11.2,13.84,25.0,4.6
253,Richards Bay,50,ZA,1569500741,55,-28.77,32.06,17.57,4.11
254,Belmonte,27,PT,1569500742,59,40.36,-7.35,26.11,1.34
255,Buala,15,SB,1569500744,78,-8.15,159.59,26.87,3.23
256,San Patricio,0,PY,1569500745,60,-26.98,-56.83,18.07,2.33
257,Regente Feijo,90,BR,1569500746,88,-22.22,-51.3,18.0,4.1
258,Issoire,75,FR,1569500747,49,45.54,3.25,23.0,6.2
259,Chuy,3,UY,1569500748,72,-33.69,-53.46,16.07,2.9
260,Kurchatov,40,KZ,1569500750,31,50.75,78.54,13.47,2.12
261,Chuka,91,KE,1569500751,51,-0.33,37.65,25.17,1.99
262,Guerrero Negro,6,MX,1569500515,82,27.97,-114.04,19.07,4.32
263,Bongandanga,68,CD,1569500754,45,1.51,21.07,31.47,2.65
264,Sobolevo,0,RU,1569500755,54,54.43,31.9,12.37,1.63
265,Neuquen,0,AR,1569500757,36,-38.95,-68.06,17.0,8.2
266,Port Elizabeth,1,US,1569500758,83,39.31,-74.98,23.33,2.1
267,Puerto Ayacucho,55,CO,1569500760,80,5.66,-67.63,26.17,2.24
268,Taylor,90,CA,1569500761,87,56.15,-120.68,7.0,6.2
269,Williams Lake,90,CA,1569500762,86,52.13,-122.14,4.0,2.6
